Kode,nama,JobType,JobTypeDesc,KategoriPekerjaan,HargaJual,WaktuKerja,SatuanKerja,Catatan,StatusAktif
JS00001,KPB1/SERVIS GRATIS 1,ASS1,ASS 1 service,PERBAIKAN,18000,18,Minute,,Aktif
JS00002,KPB2/SERVIS GRATIS 2,ASS2,ASS 2 service,PERBAIKAN,18000,18,Minute,,Aktif
JS00003,KPB3/SERVIS GRATIS 3,ASS3,ASS 3 service,PERBAIKAN,18000,18,Minute,,Aktif
JS00004,KPB4/SERVIS GRATIS 4,ASS4,ASS 4 service,PERBAIKAN,18000,18,Minute,,Aktif
JS00005,CLAIM C2,C2,Honda Warranty,PERBAIKAN,18000,10,Minute,,Aktif
JS00008,PAKET SERVIS LENGKAP CUB KARBU WIN SUPRA 125 KHARI,CS,Complete Srv,PERAWATAN,55000,45,Minute,,Aktif
JS00008A,PAKET SERVIS LENGKAP SUPRA REVO 100 PRIMA GRAND,CS,Complete Srv,PERAWATAN,55000,45,Minute,,Aktif
JS00008B,PAKET SERVIS LENGKAP CUB FI SUPRA HELM IN BLADE FI,CS,Complete Srv,PERAWATAN,55000,50,Minute,,Aktif
JS00009A,PAKET SERVIS LENGKAP MATIC KARBU VARIO SCOOPY BEAT,CS,Complete Srv,PERAWATAN,60000,50,Minute,,Aktif
JS00009B,PAKET SERVIS LENGKAP MATIC FI SPACY HELM IN VARIO ,CS,Complete Srv,PERAWATAN,60000,50,Minute,,Aktif
JS00009C,PAKET SERVIS LENGKAP VARIO 150 DAN 160 PGMFI,CS,Complete Srv,PERAWATAN,60000,50,Minute,,Aktif
JS00010,PAKET SERVIS LENGKAP SPORT MEGAPRO VERZA CS1 SONIC,CS,Complete Srv,PERAWATAN,70000,50,Minute,,Aktif
JS00010A,PAKET SERVIS LENGKAP GL SERIES GL100 NEO MAX,CS,Complete Srv,PERAWATAN,70000,45,Minute,,Aktif
JS00011A,PAKET SERVIS LENGKAP SPORT TIGER CB150R CRF,CS,Complete Srv,PERAWATAN,70000,50,Minute,,Aktif
JS00011B,PAKET SERVIS LENGKAP CBR150R PHANTOM PCX ADV,CS,Complete Srv,PERAWATAN,85000,50,Minute,,Aktif
JS00012,PAKET SERVIS LENGKAP CBR 250,CS,Complete Srv,PERAWATAN,105000,50,Minute,,Aktif
JS00018,BELAH MESIN/OVERHAUL CUB,HR,Heavy Repair,PERBAIKAN,300000,4,Hour,,Aktif
JS00019,BELAH MESIN/OVERHAUL MATIC,HR,Heavy Repair,PERBAIKAN,300000,1,Day,,Aktif
JS00020,BELAH MESIN/ OVERHAUL SPORT,HR,Heavy Repair,PERBAIKAN,350000,4,Hour,,Aktif
JS00021,BELAH MESIN/OVERHAUL TIGER CB150R NSR,HR,Heavy Repair,PERBAIKAN,350000,5,Hour,,Aktif
JS00022,BELAH MESIN/OVERHAUL CBR250 CBR150,HR,Heavy Repair,PERBAIKAN,350000,5,Hour,,Aktif
JS00006,JOB RETURN,JR,Job Return,PERBAIKAN,0,10,Minute,,Aktif
JS00023,SKIR KLEP/TOP OVERHAUL CUB,LR,Light Repair,PERBAIKAN,250000,2,Hour,,Aktif
JS00024,SKIR KLEP/TOP OVERHAUL MATIC,LR,Light Repair,PERBAIKAN,250000,2,Hour,,Aktif
JS00025,SKIR KLEP/TOP OVERHAUL SPORT,LR,Light Repair,PERBAIKAN,300000,2,Hour,,Aktif
JS00026,SKIR KLEP/TOP OVERHAUL TIGER CB150R NSR,LR,Light Repair,PERBAIKAN,300000,3,Hour,,Aktif
JS00027,SKIR KLEP/ TOP OVERHAUL CBR 150 CBR 250,LR,Light Repair,PERBAIKAN,300000,3,Hour,,Aktif
JS00028,BELAH MESIN KANAN CUB,LR,Light Repair,PERBAIKAN,30000,40,Minute,,Aktif
JS00029,BELAH MESIN KANAN MATIC,LR,Light Repair,PERBAIKAN,30000,50,Minute,,Aktif
JS00030,BELAH MESIN KANAN SPORT,LR,Light Repair,PERBAIKAN,25000,50,Minute,,Aktif
JS00031,BELAH MESIN KANAN TIGER,LR,Light Repair,PERBAIKAN,30000,50,Minute,,Aktif
JS00032,BELAH MESIN KANAN CS1,LR,Light Repair,PERBAIKAN,30000,50,Minute,,Aktif
JS00033,BELAH MESIN KIRI CUB,LR,Light Repair,PERBAIKAN,20000,20,Minute,,Aktif
JS00034,BELAH MESIN KIRI MATIC,LR,Light Repair,PERBAIKAN,20000,20,Minute,,Aktif
JS00035,BELAH MESIN KIRI SPORT,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00036,BELAH MESIN KIRI TIGER,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00037,BELAH MESIN KIRI CS1,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00040,COLTER,LR,Light Repair,PERBAIKAN,85000,30,Minute,,Aktif
JS00041,B/P STANG PISTON + LAKER BANDUL,LR,Light Repair,PERBAIKAN,85000,30,Minute,,Aktif
JS00042,SOK OMAH LAKER,LR,Light Repair,PERBAIKAN,75000,40,Minute,,Aktif
JS00043,B/P KAMPAS REM BELAKANG CUB,LR,Light Repair,PERBAIKAN,15000,15,Minute,,Aktif
JS00044,B/P KAMPAS REM BELAKANG MATIC/SPORT,LR,Light Repair,PERBAIKAN,15000,20,Minute,,Aktif
JS00045,B/P DISKPAD CUB/MATIC/SPORT,LR,Light Repair,PERBAIKAN,15000,20,Minute,,Aktif
JS00046,B/P KARET TROMOL/ANGKATAN CUB,LR,Light Repair,PERBAIKAN,20000,15,Minute,,Aktif
JS00047,B/P KARET ANGKATAN/TROMOL SPORT,LR,Light Repair,PERBAIKAN,30000,20,Minute,,Aktif
JS00048,B/P GIRSET CUB,LR,Light Repair,PERBAIKAN,20000,20,Minute,,Aktif
JS00049,B/P GIRSET SPORT,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00050,B/P KABEL BODY HOLDER KABEL ACCU,LR,Light Repair,PERBAIKAN,55000,20,Minute,,Aktif
JS00051,REPAIR SPEEDO METER MANUAL,LR,Light Repair,PERBAIKAN,125000,20,Minute,,Aktif
JS00052,REPAIR SPEEDO METER DIGITAL,LR,Light Repair,PERBAIKAN,225000,30,Minute,,Aktif
JS00053,B/P BAN LUAR/DALAM CUB MATIC SPORT,LR,Light Repair,PERBAIKAN,15000,20,Minute,,Aktif
JS00054,B/P BAN TUBELESS ,LR,Light Repair,PERBAIKAN,15000,25,Minute,,Aktif
JS00055,B/P KAMPRAT CUB,LR,Light Repair,PERBAIKAN,35000,20,Minute,,Aktif
JS00056,B/P KAMPRAT MATIC/SPORT,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00057,B/P KLAKSON,LR,Light Repair,PERBAIKAN,10000,20,Minute,,Aktif
JS00058,B/P SIEL SKOK+OLI SKOK DEPAN CUB MATIC,LR,Light Repair,PERBAIKAN,35000,20,Minute,,Aktif
JS00059,B/P SIEL SKOK DEPAN SPORT,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00060,B/P SKOK BELAKANG CUB/MATIC/SPORT,LR,Light Repair,PERBAIKAN,35000,20,Minute,,Aktif
JS00061,GANTI MONOSHOCK,LR,Light Repair,PERBAIKAN,20000,20,Minute,,Aktif
JS00062,B/P KOPLING SPORT,LR,Light Repair,PERBAIKAN,75000,20,Minute,,Aktif
JS00063,SERVICE (B/P) CVT,LR,Light Repair,PERBAIKAN,35000,20,Minute,,Aktif
JS00064,PEMBERSIHAN CVT,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00064A,B/P WATER PUMP,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00065,B/P COVER LAMPU,LR,Light Repair,PERBAIKAN,10000,10,Minute,,Aktif
JS00066,B/P ACCU,LR,Light Repair,PERBAIKAN,5000,10,Minute,,Aktif
JS00067,B/P MAGNIT SPULL,LR,Light Repair,PERBAIKAN,45000,30,Minute,,Aktif
JS00068,B/P KABEL SPEDO,LR,Light Repair,PERBAIKAN,15000,10,Minute,,Aktif
JS00069A,B/P LAKER RODA CUB MATIC,LR,Light Repair,PERBAIKAN,15000,20,Minute,,Aktif
JS00069B,B/P LAKER RODA SPORT,LR,Light Repair,PERBAIKAN,20000,25,Minute,,Aktif
JS00070,B/P SIL MASTER REM ,LR,Light Repair,PERBAIKAN,25000,20,Minute,,Aktif
JS00071,B/P LIFTER TENSIONER,LR,Light Repair,PERBAIKAN,45000,20,Minute,,Aktif
JS00072,PRESS POROK+SENTER STANG,LR,Light Repair,PERBAIKAN,210000,40,Minute,,Aktif
JS00073A,REPAIR KELISTRIKAN,LR,Light Repair,PERBAIKAN,35000,20,Minute,,Aktif
