id,namaSparepart,namaLokalSparepart,kodeSparepart,grupSparepart,label,hargaLokal,hargaNasional,hargaJual,hargaJualHET,uom,rak,aktif,nilaiDiskon,persentaseDiskon,stok,grupKodeAHM,kategoriETD,etaTercepat,etaTerlama
62261,"STEM SUB ASSY, STR",,53219K1AN80,HGP,"53219K1AN80 - STEM SUB ASSY, STR",480000,480000,480000,480000,PCS,,true,0,0,0,HND-16A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62260,"SWITCH ASSY,HNDL LOCK",,35100K1ANB1,HGP,"35100K1ANB1 - SWITCH ASSY,HNDL LOCK",400000,400000,400000,400000,PCS,,true,0,0,0,HND-11A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62259,"WINKER COMP,L FR",,33452K1AN81,HGP,"33452K1AN81 - WINKER COMP,L FR",60000,60000,60000,60000,PCS,,true,0,0,0,HND-11A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62258,"MIRROR COMP,L",,88220K1AN81,HGP,"88220K1AN81 - MIRROR COMP,L",57000,57000,57000,57000,PCS,,true,0,0,0,HND-02B,,2024-07-26 00:00:00,2024-07-31 00:00:00
62257,"MIRROR COMP,R",,88210K1AN81,HGP,"88210K1AN81 - MIRROR COMP,R",57000,57000,57000,57000,PCS,,true,0,0,0,HND-02B,,2024-07-26 00:00:00,2024-07-31 00:00:00
62256,"COVER,INNER LOWER",,81141K1AN80ZA,HGP,"81141K1AN80ZA - COVER,INNER LOWER",85000,85000,85000,85000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62255,"COVER,INNER UPPER",,81131K1AN80ZA,HGP,"81131K1AN80ZA - COVER,INNER UPPER",59000,59000,59000,59000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62254,"COVER,FR LOWER",,64308K1AN80ZA,HGP,"64308K1AN80ZA - COVER,FR LOWER",51000,51000,51000,51000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62253,"COVER,FR TOP",,64302K1AN80ZA,HGP,"64302K1AN80ZA - COVER,FR TOP",26000,26000,26000,26000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62252,"COVER,FR (BLK)",,64301K1AN80FMB,HGP,"64301K1AN80FMB - COVER,FR (BLK)",383000,383000,383000,383000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62251,"STAY COMP,FR COVER",,64223K1AN80,HGP,"64223K1AN80 - STAY COMP,FR COVER",52000,52000,52000,52000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62250,"FENDER,FR (BLK)",,61100K1AN80ZE,HGP,"61100K1AN80ZE - FENDER,FR (BLK)",184000,184000,184000,184000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62249,"COVER,HANDLE FR",,53205K1AN80ZA,HGP,"53205K1AN80ZA - COVER,HANDLE FR",68000,68000,68000,68000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
62248,"COVER,SPEEDOMETER (BLK)",,53204K1AN80FMB,HGP,"53204K1AN80FMB - COVER,SPEEDOMETER (BLK)",125000,125000,125000,125000,PCS,,true,0,0,0,HND-02A,,2024-07-26 00:00:00,2024-07-31 00:00:00
